J0014+4746        3.573958     47.775944   1.240699  5.64e-16    88.700      3.00       30.41   -1.00    1.23  
J0026+6320        6.710671     63.333575   0.318358  1.50e-16     8.100      1.00      230.31   -0.80       *  
J0034-0534        8.590976     -5.576867   0.001877  4.97e-21     0.800      0.61       13.77   -2.30    2.66  
J0034-0721        8.536960     -7.364836   0.942951  4.08e-16    56.700     11.00       10.92   -1.30    1.24  
J0040+5716       10.134844     57.273587   1.118225  2.88e-15    12.200      0.60       92.51   -1.70    1.69  
J0045-7042       11.357042    -70.701972   0.632336  2.49e-15    19.000      0.11       70.00       *       *  
J0045-7319       11.396500    -73.317500   0.926276  4.46e-15    20.000      0.30      105.40       *    0.96  
J0055+5117       13.939076     51.290270   2.115171  9.54e-15    73.000      1.50       44.01   -1.00    0.65  
J0102+6537       15.637326     65.620388   1.679164  5.95e-15    89.700      1.20       65.85   -1.60    2.56  
J0108+6608       17.094364     66.142770   1.283660  1.31e-14    22.500      0.90       30.55   -1.40    1.92  
J0111-7131       17.869875    -71.529667   0.688542  7.09e-15    13.000      0.06       76.00       *       *  
J0117+5914       19.411088     59.243997   0.101439  5.85e-15     4.100      0.30       49.42   -2.40    3.97  
J0131-7310       22.868792    -73.169261   0.348124  1.76e-15     4.800      0.15      205.20       *       *  
J0134-2937       23.577788    -29.621364   0.136962  7.84e-17     6.500      2.40       21.81       *    1.06  
J0139+5621       24.910667     56.360222   1.775344  7.91e-14    42.000      0.02      101.84   -2.60    2.84  
J0139+5814       24.832250     58.242172   0.272451  1.07e-14     5.200      4.60       73.81   -1.60    1.95  
J0141+6009       25.416409     60.158973   1.222949  3.91e-16    34.900      4.50       34.93   -1.80    2.13  
J0147+5922       26.936024     59.367581   0.196321  2.57e-16     7.000      2.10       40.11   -1.00    0.91  
J0151-0635       27.844588     -6.584111   1.464665  4.43e-16    56.900      1.30       25.66   -2.70    2.69  
J0152-1637       28.045223    -16.631386   0.832742  1.30e-15    17.800      1.50       11.93   -2.10    2.07  
J0157+6212       29.458061     62.207195   2.351745  1.89e-13    33.400      1.90       30.21   -1.20    1.07  
